Dia,Hora,Temperatura,Humedad,Presion
15,1,18.1,50,1002
15,2,23.9,66,1027
15,3,12.1,52,1027
15,4,38.1,59,999
15,5,33.6,35,1004
15,6,37.7,55,1033
15,7,28.1,49,1026
15,8,15.9,20,1031
15,9,39.8,64,1022
15,10,40.0,36,1023
15,11,25.2,28,995
15,12,32.9,45,999
15,13,27.7,57,1003
15,14,11.5,29,1012
15,15,24.0,59,1021
15,16,16.9,39,1028
15,17,34.9,68,1025
15,18,16.4,50,1032
15,19,26.1,47,996
15,20,26.5,23,1029
15,21,31.9,31,999
15,22,31.0,20,999
15,23,30.9,36,1016
15,24,15.0,34,1016
16,1,36.8,66,1012
16,2,13.0,23,1027
16,3,35.7,58,1007
16,4,22.5,33,1012
16,5,29.2,27,1000
16,6,35.2,42,1020
16,7,34.3,58,1023
16,8,11.9,67,1024
16,9,37.6,20,1034
16,10,19.2,47,996
16,11,11.9,24,1019
16,12,22.7,65,1008
16,13,13.5,22,1018
16,14,25.4,60,1018
16,15,26.5,57,1028
16,16,34.1,31,998
16,17,18.8,23,1023
16,18,36.4,39,1027
16,19,20.8,50,1007
16,20,27.7,47,1026
16,21,35.8,53,1003
16,22,25.4,43,1008
16,23,17.4,40,995
16,24,16.8,40,1019
17,1,11.3,29,1026
17,2,11.4,52,1006
17,3,19.6,42,1010
17,4,23.1,49,1006
17,5,19.1,51,1013
17,6,12.1,46,1002
17,7,24.9,51,1015
17,8,28.8,58,1016
17,9,30.6,56,1033
17,10,27.8,22,1028
17,11,13.3,54,1001
17,12,18.7,60,1026
17,13,19.2,56,1022
17,14,18.3,23,1003
17,15,23.3,24,1005
17,16,12.9,51,996
17,17,38.5,43,996
17,18,34.5,59,1031
17,19,39.2,61,1024
17,20,17.3,43,1034
17,21,12.2,43,1030
17,22,31.3,64,1017
17,23,31.8,31,1011
17,24,26.5,56,1016
18,1,33.4,57,1017
18,2,33.6,27,1007
18,3,15.5,49,1002
18,4,31.1,23,998
18,5,18.4,35,1023
18,6,17.0,28,1025
18,7,26.4,49,1026
18,8,33.0,60,1025
18,9,19.8,44,1025
18,10,37.7,37,1017
18,11,21.2,40,1032
18,12,28.1,30,1009
18,13,25.6,39,1022
18,14,25.3,40,1033
18,15,39.2,55,1010
18,16,12.4,22,1021
18,17,37.3,60,1033
18,18,11.4,65,1018
18,19,34.6,38,1026
18,20,28.5,23,1002
18,21,22.9,48,1001
18,22,18.2,46,1005
18,23,16.8,36,1011
18,24,20.5,60,1026
19,1,32.5,49,997
19,2,28.6,50,1017
19,3,36.4,69,1005
19,4,13.8,62,1009
19,5,18.6,48,1029
19,6,15.1,52,1009
19,7,37.2,41,1029
19,8,27.8,46,1027
19,9,36.7,44,1012
19,10,18.3,41,1033
19,11,16.1,62,996
19,12,28.5,56,1026
19,13,25.3,64,1021
19,14,32.2,21,1013
19,15,16.0,40,1013
19,16,23.3,62,1014
19,17,16.9,60,1021
19,18,29.1,48,1022
19,19,34.3,65,998
19,20,28.3,58,1016
19,21,23.7,39,1019
19,22,18.4,42,1010
19,23,30.9,39,1016
19,24,36.9,41,1014
20,1,17.4,33,1000
20,2,18.2,58,999
20,3,36.4,31,1030
20,4,12.7,38,1022
20,5,26.0,55,995
20,6,28.5,46,1010
20,7,36.6,66,1020
20,8,26.0,38,1000
20,9,32.4,59,1033
20,10,13.3,58,1017
20,11,18.0,39,1034
20,12,19.0,35,1009
20,13,36.6,24,1019
20,14,21.1,67,1022
20,15,25.8,58,997
20,16,27.3,24,1002
20,17,23.3,54,1018
20,18,37.8,39,1017
20,19,19.6,46,1031
20,20,17.6,36,1014
20,21,29.8,58,1029
20,22,23.8,28,1024
20,23,16.1,60,1014
20,24,36.3,40,1008
21,1,25.9,48,998
21,2,16.0,43,1012
21,3,29.3,60,1012
21,4,15.6,62,1016
21,5,33.4,22,1007
21,6,12.9,60,995
21,7,34.3,35,1018
21,8,32.9,57,1027
21,9,11.0,22,1032
21,10,20.5,60,999
21,11,34.6,59,1001
21,12,34.9,25,1001
21,13,11.5,25,1028
21,14,26.3,59,1002
21,15,21.4,69,1011
21,16,16.1,54,1024
21,17,31.6,37,996
21,18,27.4,44,1025
21,19,31.2,43,999
21,20,35.5,27,1028
21,21,20.5,46,1017
21,22,22.2,24,999
21,23,36.9,66,1027
21,24,10.5,28,1018
22,1,16.6,49,1016
22,2,22.2,57,996
22,3,23.5,49,1032
22,4,19.0,52,1015
22,5,28.3,36,1023
22,6,15.5,27,1006
22,7,34.9,38,1034
22,8,26.0,43,1017
22,9,34.8,37,1022
22,10,10.2,47,1005
22,11,20.0,50,1005
22,12,31.1,60,999
22,13,28.9,45,1030
22,14,20.7,23,1023
22,15,18.1,33,1029
22,16,14.8,51,1027
22,17,14.4,67,1018
22,18,31.8,21,1019
22,19,30.0,46,1021
22,20,14.0,25,997
22,21,11.7,20,997
22,22,24.1,45,1032
22,23,19.7,64,1023
22,24,15.6,36,1012
23,1,14.0,42,1020
23,2,27.9,56,999
23,3,28.9,38,1001
23,4,33.1,56,1025
23,5,21.6,69,1018
23,6,12.6,33,1028
23,7,27.2,40,1019
23,8,28.9,23,1003
23,9,37.0,60,1032
23,10,30.8,44,1015
23,11,10.9,26,1031
23,12,35.1,25,1026
23,13,12.1,31,1023
23,14,32.3,57,1008
23,15,21.1,22,1028
23,16,35.4,48,1015
23,17,32.2,57,1011
23,18,34.5,27,1027
23,19,28.5,62,1002
23,20,14.3,26,1016
23,21,38.4,68,1005
23,22,11.6,59,1031
23,23,23.3,40,1009
23,24,20.9,51,1034
24,1,11.3,33,1029
24,2,12.8,32,1000
24,3,35.3,50,1011
24,4,33.6,24,1027
24,5,29.0,59,1012
24,6,37.5,32,1000
24,7,29.5,60,1034
24,8,31.0,65,1015
24,9,20.2,68,1005
24,10,38.3,48,1020
24,11,11.4,41,1025
24,12,26.0,30,1012
24,13,29.3,54,999
24,14,21.7,57,996
24,15,16.0,42,998
24,16,32.7,47,1029
24,17,30.5,22,1009
24,18,29.2,25,1002
24,19,33.9,28,999
24,20,33.5,33,996
24,21,28.5,44,998
24,22,10.3,31,1010
24,23,25.6,55,1018
24,24,35.2,61,1029
25,1,10.4,62,1002
25,2,20.5,50,1008
25,3,12.7,24,1011
25,4,19.8,41,1025
25,5,17.4,59,1024
25,6,18.9,25,1001
25,7,25.2,44,1012
25,8,26.2,33,995
25,9,34.8,33,998
25,10,14.0,57,1033
25,11,22.7,63,1001
25,12,15.7,48,1014
25,13,20.6,27,1022
25,14,27.7,34,1021
25,15,33.2,20,1016
25,16,17.8,37,1027
25,17,23.3,68,1016
25,18,31.7,62,1021
25,19,16.8,67,1007
25,20,30.1,25,1024
25,21,30.9,22,998
25,22,29.5,55,998
25,23,36.7,20,1004
25,24,18.8,26,1017
26,1,12.6,49,1018
26,2,17.5,50,1016
26,3,18.0,26,1001
26,4,35.6,56,996
26,5,28.9,43,1002
26,6,15.4,20,997
26,7,39.2,21,1004
26,8,21.9,38,1001
26,9,27.9,45,1017
26,10,29.9,40,995
26,11,24.8,29,1029
26,12,13.4,22,1011
26,13,20.7,24,1000
26,14,34.6,60,1002
26,15,10.4,30,996
26,16,31.0,38,1006
26,17,22.3,27,1009
26,18,13.8,24,1003
26,19,39.7,63,1021
26,20,25.8,33,1012
26,21,24.8,69,1026
26,22,33.4,37,1006
26,23,25.6,42,1011
26,24,17.4,59,1030
27,1,37.7,63,1004
27,2,36.3,59,998
27,3,30.6,27,1032
27,4,39.7,43,995
27,5,27.3,41,1002
27,6,33.2,50,1003
27,7,36.3,24,1033
27,8,21.1,40,1019
27,9,35.6,30,1015
27,10,22.0,22,998
27,11,35.2,45,1016
27,12,34.6,46,999
27,13,37.1,25,1028
27,14,28.8,58,1031
27,15,32.5,23,1001
27,16,31.0,43,1018
27,17,38.0,35,998
27,18,14.2,63,1013
27,19,22.5,45,1003
27,20,37.0,65,1019
27,21,30.4,29,1020
27,22,20.8,36,1029
27,23,31.2,20,999
27,24,37.3,38,1033
28,1,21.2,40,995
28,2,37.3,62,996
28,3,25.0,49,1022
28,4,20.9,43,999
28,5,20.4,62,1015
28,6,13.4,41,1007
28,7,15.2,35,1015
28,8,21.0,36,1006
28,9,33.4,37,1022
28,10,25.7,22,1023
28,11,31.5,24,1019
28,12,10.3,64,1030
28,13,36.6,50,1019
28,14,33.4,54,1028
28,15,14.1,54,1017
28,16,18.9,63,1015
28,17,22.6,34,1016
28,18,15.7,68,1031
28,19,32.8,20,1002
28,20,22.4,67,998
28,21,21.2,31,996
28,22,38.4,41,1024
28,23,32.0,21,1027
28,24,14.1,38,1003
29,1,31.2,42,1021
29,2,26.1,55,1021
29,3,10.4,61,1033
29,4,11.8,45,1013
29,5,11.5,41,1002
29,6,17.7,58,1015
29,7,25.2,36,1001
29,8,33.5,21,1020
29,9,11.7,36,1024
29,10,16.7,37,1009
29,11,12.2,28,1025
29,12,21.2,52,1014
29,13,11.7,29,1006
29,14,37.5,34,1024
29,15,31.1,38,1027
29,16,23.1,46,1025
29,17,33.0,25,1007
29,18,31.1,23,1028
29,19,31.2,31,1018
29,20,37.6,56,1016
29,21,16.6,45,1011
29,22,27.1,30,1026
29,23,27.3,69,1027
29,24,22.9,45,1009
30,1,32.3,32,1004
30,2,18.0,59,1022
30,3,28.4,65,1014
30,4,26.0,49,1022
30,5,38.5,44,1013
30,6,27.6,48,1020
30,7,30.6,51,1003
30,8,12.5,37,1015
30,9,31.4,40,1017
30,10,20.0,37,1005
30,11,27.6,51,1034
30,12,28.8,24,1002
30,13,11.8,23,1018
30,14,20.5,64,996
30,15,39.5,33,1021
30,16,36.0,21,1011
30,17,26.7,29,1030
30,18,30.4,34,1023
30,19,10.8,69,1014
30,20,15.8,41,1001
30,21,13.2,33,1028
30,22,20.5,41,1001
30,23,32.0,42,1030
30,24,21.0,66,1016
